7D ドライマンゴー,7D Dried Mangoes,フード,Food,ドライマンゴー,Dried Mangoes,7d Food Intl.,「ドライマンゴーといえば、7D」と言われるほど、圧倒的に人気の商品。
ジョビーズ　バナナチップス,Jovy's Banana Chips,フード,Food,バナナチップス,Banana Chips,Jovy's,分厚く食べ応えがあり、ココナッツオイルでコーティングされているバナナチップス。世界で1番美味しいと噂されることがある。
オウルツリーバナナチップス,OWL TREE　Banana Chips,フード,Food,バナナチップス,Banana Chips,Cocotier Corporation,薄切りで作られており、他のバナナチップスと比べても食感がかなり軽いことが特徴。
シャムロックオタップ,Shamrock OTAP,フード,Food,OTAP,OTAP,Shamrock,セブ島発祥の代表的なパイ生地のお菓子。なかでもShamrock（シャムロック）製が有名。
バナナケチャップUFC,Banana Catsup UFC,フード,Food,バナナケチャップ,Banana Catsup,UFC,バナナ風味のケチャップ。ローカルファーストフード店のJollibee(ジョリビー）でも利用していると言われている。なかでも有名なのはUFC製。
ナガラヤ,NAGARAYA,フード,Food,ナッツ,Nuts,,フィリピン人の間でも大人気のピーナッツのスナック菓子。フィリピン発です。
クノールシニガン,Knorr Sinigang,フード,Food,スープ,Soup,,フィリピン料理で最も代表的なスープの素。かなり酸っぱいため、好みは分かれます。
パンシット カントン,PANCIT CANTON,フード,Food,ヌードル,Noodles,Lucky Me,焼きそばに近い、インスタント麺です。レストランでも当たり前のように出てくる国民的な食べ物。
サンミゲルビール,San Miguel Beer,ドリンク,Drink,ビール,Beer,,フィリピンのビールのシェアの90%を占めるサンミゲル社のビール。様々な種類があります。
ココナッツワイン,Coconut Wine,ドリンク,Drink,ワイン,Wine,,トゥバといいます。ローカルの人たちはトゥバが大好きで、自分で作ったりもしています。
ココリシャス ヴァージンココナッツオイル,COCO Licious Virgin Coconut Oil,コスメ,Cosme,オイル,Oil,,ココナッツオイルの中でも、化学物質やその他の添加物を一切含んでいないエクストラ・バージン・ココナッツオイルがオススメ。フィリピンココナッツ庁認定のリーズナブルなオーガニックバージンココナッツオイル。
シルカ,Silka,コスメ,Cosme,石鹸,Soap,PAPAYA SOAP,フィリピンではパパイヤに美白効果があると有名。中でも値段の割に品質が高いSilkeが人気。パパイヤの甘い香りが特徴で、泡立ちもよく、長持ちします。
ヒューマンネイチャー,human nature,コスメ,Cosme,コスメ全般,General,human nature,フィリピン発のオーガニックコスメブランド。フィリピンの魅力を海外に発信し、国の発展、貧困支援、環境保全をミッションとして掲げており、間接的に関わることができます。
