インペリアル スパ,Imperial Spa,高級スパ,Luxuary,ネイルサロンも併設されている女性に人気のスパ。人気メニューは６種のオイルから好きな香りを選ぶことができるアロマセラピーマッサージ。,,なし,None,[月～日]12：00?26：00,[Mon～Sun]12:00?26:00,セブ市内,Cebu city,"14 F, Cabahug Street, Mabolo, Cebu city, Cebu, Phillipines",,https://g.page/Imperialspacebu?share,https://www.facebook.com/imperialspacebu/
アルニカ スパ,ARNIKA SPA,高級スパ,Luxuary,セブ最初のスパ。緑豊かな庭園とフィリピンの伝統方式の建物の中で、南国リゾート気分を味わいながら、プライペートコテージでひとときが過ごせる。,,なし,None,[月～日]10:00~23:00,[Mon～Sun]10:00~23:00,ラプラプ,Lapu-Lapu,"Datag Maribago, Lapu-Lapu City, Cebu, Philippines",,https://goo.gl/maps/vvjjBErcitkvESyH9,http://www.arnikaspa.com/?ckattempt=1
ツリー・シェイド・スパ,Tree Shade Spa,高級スパ,Luxuary,セブ島で最も人気のスパ。1時間以上待たされることもあり、予約必須。,,なし,None,[月～日]0:00~24:00,[Mon～Sun]0:00~24:00,セブ市内,Cebu city,"Salinas Dr, Cebu City, 6000 Cebu, Phillipines",,https://goo.gl/maps/t1ooo6C1qhpL6ANE8,https://www.facebook.com/treeshadejapan/
ベル スパ,VEL SPA,高級スパ,Luxuary,カラダにやさしいオーガニックスパサロン。古くから伝わるフィリピン伝統の“ヒロットオイルマッサージ”が受けられる。,,なし,None,[月～日]10:00～22:00,[Mon～Sun]10:00～22:00,ラプラプ,Lapu-Lapu,"168 Punta Enga?o Rd, Lapu-Lapu City, 6015 Cebu, Philippines",,https://goo.gl/maps/QMZZWY9gsbCiwEx18,https://velspa.com.ph
ブリス デイ スパ,BLISS DAY SPA,高級スパ,Luxuary,同じ敷地内にレストラン、ネイルサロン、お土産ショップ、キッズルームが併設されているラグジュアリースパ。,,なし,None,[月～日]10:00～27:00,[Mon～Sun]10:00～27:00,ラプラプ,Lapu-Lapu,"Vista Mar Avenue, Maribago, Lapu-Lapu City, 6015 Cebu, Philippines",,https://g.page/blissdayspacebu?share,https://www.blissdayspacebu.com
CHI スパ,CHI Spa,高級スパ,Luxuary,シャングリラマクタンリゾート&スパの中にあるアジアの中でも最大級と言われているラグジュアリースパ。心の平穏と身体の健康を促す地上の楽園「シャングリ･ラ」にインスピレーションを得た癒しの空間を提供。,,なし,None,[月～日]10:00～22:00,[Mon～Sun]10:00～22:00,ラプラプ,Lapu-Lapu,"Punta Engano Road, Lapu-Lapu, Cebu 2015, Philippines",,https://goo.gl/maps/Zd8y4tSy5W5kB8Gj6,http://www.shangri-la.com/jp/cebu/mactanresort/chi-the-spa
ミンタイスパ,MingThaiSpa,高級スパ,Luxuary,ココナッツオイルを使用したスウェーデン式（オイル）マッサージが一番人気。,,なし,None,[月～日]0:00～24:00,[Mon～Sun]0:00～24:00,セブ市内,Cebu city,"47 F. Cabahug St, Cebu City, 6000 Cebu, Phillipines",,https://goo.gl/maps/Bi4vmozygiRTJhsM8,https://www.facebook.com/pages/category/Massage-Service/Ming-Thai-Spa-CEBU-1632916926991786
エコ スパ,ECO SPA,高級スパ,Luxuary,"緑あふれる敷地で最初から最後までエコフレンドリーな体験ができるスパ。
ストーンマッサージが人気。",,なし,None,[月～日]10:00～21:30,[Mon～Sun]10:00～21:30,ラプラプ,Lapu-Lapu,Bagong Silingan Mactan Lapu-Lapu City,,https://goo.gl/maps/fcjfodnj461wcFdA7,https://book.ntmg.com/yGXMG8adsB5UpVXct06DN8guPnpiV2ut6nPPZfZs/products/2258aa82-15e8-57ec-b2f8-98568a7b7eb2
ウンディーナスパ,Undina Spa,高級スパ,Luxuary,プルクラリゾートホテル内にある高級リゾートスパ。水上コテージにあり、プライベートプール、スチームサウナ、ジャグジーバス等の設備を抱える。フィリピン伝統のヒロットマッサージやアロマオイルマッサージなどを波の音を聞きながら受けられる。,,なし,None,[月～日]10:00～22:00,[Mon～Sun]10:00～22:00,サンフェルナンド,San Fernando,"San Isidro, San Fernando Cebu 6018",,https://goo.gl/maps/UBo98UyMLKgXmUsc9,http://www.pulchraresorts.com/index.php/ja/spa-ph-ja
マリガヤスパ,Maligaya spa,高級スパ,Luxuary,"プライベート感たっぷりのヴィラでマッサージを堪能できる。""Kawayan”という短い竹を使ったマッサージを受けられる。",,なし,None,[月～日]10:00～23:30,[Mon～Sun]10:00～23:30,ラプラプ,Lapu-Lapu,"Soong 1, Maribago, Lapu-Lapu City",,https://goo.gl/maps/ijwc9BXSQ6BtqySF6,https://www.facebook.com/maligaya.spa
ヌアッタイマッサージ,NUAT THAI Massage,チェーン店,Chain,セブで最も店舗数の多いマッサージチェーン店。安さが売り。,,ｰ,ｰ,ｰ,ｰ,ｰ,ｰ,ｰ,,ｰ,https://www.nuatthaiph.com
