アドボ,Adobo,フード,Food,肉料理,Meat,-,もともとスペインの肉料理“アドバード”を原型とするフィリピンの代表的な家庭料理。酢をたくさん使い、醤油とスパイスの味つけ汁を作って、そこに鶏肉や豚肉を漬け込んだ煮込み料理です。
バロット,Ballot,フード,Food,その他,Others,-,孵化直前のアヒルの卵を加熱したゆで卵。時々、卵を開けたら成長しかけのヒナがいることもあります。路上の屋台で買う事ができます。
ハロハロ,Halo-Halo,フード,Food,デザート,Dessert,-,フィリピンの定番デザート。ハロハロとは、タガログ語で「ごちゃ混ぜ」という意味で、かき氷、ミルク、フルーツ、ナタデココ、タピオカ、プリン、ココナッツ、アイスクリーム、紫芋（ウベ）などを混ぜて食べます。
カレカレ,Kare-Kare,フード,Food,スープ,Soup,-,お祝い事やお祭りのときに食べられるフィリピンの伝統的なシチュー。牛の尻尾や野菜がピーナッツソースやココナッツミルクを用いたスープで煮込まれている。
キニラウ,Kinilaw,フード,Food,サラダ,Salad,-,フィリピン風マリネ。サイコロ状に切った魚（刺身）と瓜類等の野菜を酢で和えたもの。アペタイザーもしくはメインディッシュの一部です。
レチョン,Lechon,フード,Food,肉料理,Meat,-,炭火で一頭を丸ごと焼いた料理。「レチョン・バブイ」（子豚の丸焼き）と「レチョン・マノック」（鶏の丸焼き）がありますが、子豚の丸焼きを指すことが多い。フィリピンで、お祭りや何かのお祝いごとがあるたびに必ず食べられる。
レチョンカワリ,Lechon Kawali,フード,Food,肉料理,Meat,-,豚バラ肉をカリカリに揚げた料理。クリスピーな食感で、おつまみにピッタリ。
ルンピア,Lumpia,フード,Food,揚げ物,Fried,-,フィリピン風の揚げ春巻き。ひき肉を具材に、春巻きの皮を細くスティック状に巻いて、高温の油で揚げたもの。屋台などで見つけることができる。
パンシットカントン,Pansit canton,フード,Food,ご飯・麺,Noodles,-,焼きそばのようなもの。広東料理の影響を受けており、中華麺とキャベツやニンジンといった野菜を一緒に炒めて、そこに醤油・ナンプラーなどで味を付けされている。
ポークベリー,Pork berry,フード,Food,肉料理,Meat,-,甘辛い味付けの豚のお腹のお肉です。
シシグ,Sisig,フード,Food,肉料理,Meat,-,豚の耳や内臓、タマネギなどをみじん切りにして、醤油やにんにく、唐辛子などで炒めたフィリピンの定番料理。しょうゆで味付けされているので、日本人の口にも合いやすい。
シニガン,Sinigang,フード,Food,スープ,Soup,-,フィリピンを代表するスープ。酸味の効いた。たくさんの野菜と、エビや魚を入れたり、豚肉を入れて煮込んだものが代表的。
フライドライス,Fride Rice,フード,Food,ご飯・麺,Rice,-,
サンミゲル ライト,San Miguel Light,ドリンク,Drink,ビール,Beer,"	5.0%","フィリピンの幅広い層から支持されている代表的ビール。
低カロリーで軽い飲み口が特徴。"
サンミゲル ピルセン,San Miguel Pale Pilsen,ドリンク,Drink,ビール,Beer,"	5.0%","苦味が濃く、ビールらしいビール。
日本のビールに最も近い味わい。"
レッドホース,RED HORSE BEER,ドリンク,Drink,ビール,Beer,"	6.9%","フィリピン人に最もポピュラー。
アルコール度数が高く、かつ味もスッキリ。"
サンミゲル プレミアムモルツ,San Miguel PREMIUM ALL-MALT,ドリンク,Drink,ビール,Beer,"	5.0%","サンミゲルの高級ビール。
まろやかで香ばしく上品な味わい。"
サンミゲル スーパードライ,SUPER DRY,ドリンク,Drink,ビール,Beer,"	5.0%","キレが強く、シャープな味わい。
他のビールと比べると比較的みかけることが少ない。"
サンミゲル レモンフレーバー ,San Miguel Lemon Flavor,ドリンク,Drink,ビール,Beer,"	3.0%","レモンテイストのフレーバービール。
女性や若い年齢層に人気。"
サンミゲル アップル,San Miguel Apple Flavor,ドリンク,Drink,ビール,Beer,"	3.0%","アップルテイストのフレーバービール。
ビール感が弱く、カクテルのような味わい。"
サンミゲル セルベッサネグラ,Cerveza Negra,ドリンク,Drink,ビール,Beer,"	5.0%","サンミゲル版の黒ビール。
黒砂糖の様なほんのりと甘い味。"
サンミゲル　ゼロ,San Miguel Zero,ドリンク,Drink,ビール,Beer,"	3.0%","サンミゲルのローカロリー版。
ノンアルコールではありません。"
カラマンシージュース,Calamansi Juice,ドリンク,Drink,ソフトドリンク,Softdrink,-,"レモンやライム等に似た柑橘類の1種であるカランマンシーをベースにしたジュース。
シークワーサーの８倍のビタミンCと、ガンを抑制するフロレチンが含まれる。"
