イエロータクシー,Yellow taxi,車,Car,空港専用のタクシーです。ホワイトタクシーより値段が高く、すぐに乗車することができます。乗る場合には、空港の到着ロビーにあるサービスカウンターで行き先を告げてチケットをもらいましょう。,,初乗りP70＋距離P4(300m毎),Base fare：P70、Additional fare：P4/300m,yes,no,no,
ホワイトタクシー,White taxi,車,Car,観光客が最も利用するセブで最も一般的なタクシーです。乗車する際には、残念ながら悪質なドライバーもいるため、必ずメーターを使ってもらうようにしましょう。,,初乗りP40＋距離・時間P3.5(300m毎 or 2分毎),Base fare：P40、Additional fare：P3.5/300m or 2min,yes,yes,no,
グラブカー,Grab Car,車,Car,配車アプリを利用する方法です。日本ではUberが中心ですが、フィリピンではGrab Car(グラブカー)が中心です。スマートフォンにGrabのアプリをインストールして、目的地と現在地を設定して利用しましょう。最も安全だとされています。,,アプリ上で確認,Check by Grap App,yes,yes,no,https://www.grab.com/ph/blog/cebu-airport/
マイバス,MyBus,車,Car,大型の定期バスです。現在4つのルートがありますので、公式のWebサイトで確認しましょう。ルートによりますが、6:00～22:00まで運行しています。なお、現金は利用できないため、駅近くでチケットを購入するかMyBusカードが必要になりますので注意しましょう。,,片道：P25～P50,P25～P50/one-way,yes,yes,no,https://www.mybus.ph/
ムルティキャブ,Multicab,車,Car,空港とマクタン島を運行している黄色い車体のミニバスです。満員になってから出発しますので、大きな荷物や貴重品を持って利用するのは避けましょう。降りたい場所に着いたら、運転手に声をかけて料金を支払いましょう。,,片道：P8,P8/one-way,yes,no,no,
レンタカー,Rental Car,車,Car,車だけのレンタルも可能ですが、セブでは運転手付きのレンタカーが一般的です。車はレンタカーサイトにて確認しましょう。なお、自分で運転する場合には、国際免許証またはフィリピンのドライバーライセンスが必要になるので、旅行前に準備しましょう。,,1日：P2500～,"P2,500～/day",yes,yes,no,
ジプニー,Jeepney,車,Bus,地元の人々がメインで利用する小型の乗り合いバスです。車内は込みあっており、スリに遭いやすいので、気をつけましょう。ルートの確認はスマートフォンに「Cebu Jeepney Map」アプリをインストールを利用してみましょう。,,1人：P7～,P7～/person,no,yes,no,
トライシクル,Tricycle,バイク,Motorcycle,サイドカー付きのバイクです。バイクの横に荷台が付けられており、１～4人の乗車が可能です。スピードが出ないので長距離移動には向きません。観光客にはかなり高めの値段交渉をしてくることがあります。,,ドライバーと交渉,Negotiation with driver,no,yes,no,
バイクタクシー,Motorcycle taxi,バイク,Motorcycle,ハバルハバルとも言います。バイクの後部座席に乗るタクシーです。セブの中心地では渋滞することが多々発生しますが、その場合には便利です。海外旅行保険の対象外で交通事故等にあうリスクが高く、観光客にはあまりお勧めできません。,,ドライバーと交渉,Negotiation with driver,no,yes,no,
フェリー/ボート,Ferry/Boat,フェリー,Ferry,アイランドホッピングなど、他の島には船で移動することが多いです。各港によって行き先が異なるので、事前に目的地に応じた港を探しておきましょう。場所によって値段は大きく異なります。,,片道：P20～,P20～/one-way,no,no,yes,
飛行機,Airplane,飛行機,Airplane,マニラ⇔セブ間の移動やエルニドに行く際などの一部の島間の移動で利用します。場所によって値段は大きく異なります。,,"片道：P2,000～","P2,000～/one-way",no,no,yes,
